Бүртгэлийн дугаар,Худалдааны нэр,Олон улсын нэршилТун хэмжээNo,Эмийн хэлбэр ,Олгох нөхцөл,Үйлдвэрлэгчийн нэр,Улс,Хүчинтэй хугацаа,Бүртгүүлсэн байгууллага,Бүртгэлийн дугаар.1,Баркод,Баркод.1,,
F20130925AP03403,Глюкофаж ХР,Метформин,500мг,60,уртасгасан үйлдэлтэй шахмал,Жороор,Merck Sante S.A.S,Франц,2023.09.25,Моносфарм Трейд ХХК, ,,
F20130925AP03410,Лапраз,Лансопразол,30мг,20,капсул,Жороор,PT. Sanbe Farma,Индонез,2023.09.25,Монголфарм ХХК,8993008320022,,
F20130925CP03387,Милдронат,Мельдоний,500мг,60,капсул,Жороор,Grindeks,Латви,2023.09.25,Азифарма ХХК,4750232003299,,
F20130925CP03440,Даприл,Лизиноприл,5мг,30,шахмал,Жороор,Medochemie Ltd,Кипр,2023.09.25,Еврофарм ХХК,5290931000124,,
F20130925CP03441,Даприл,Лизиноприл,10мг,30,шахмал,Жороор,Medochemie Ltd,Кипр,2023.09.25,Еврофарм ХХК,5290931000131,,
F20130925CP03442,Даприл,Лизиноприл,20мг,30,шахмал,Жороор,Medochemie Ltd,Кипр,2023.09.25,Еврофарм ХХК,5290931003620,,
F20130925JP03404,Текназол,Итраконазол,100мг,15,капсул,Жороор,Nobel Almaty Pharmaceutical Factory JSC,Казакстан,2023.09.25,Монголэмимпекс ХХК,4870004330634,,
F20130925JP03404,Текназол,Итраконазол,100мг,4,капсул,Жороор,Nobel Almaty Pharmaceutical Factory JSC,Казакстан,2023.09.25,Монголэмимпекс ХХК, ,,
F20130925JP03407,Зидифек,Цефтазидим,1г,1,тарилгын уусмал бэлтгэх нунтаг,Жороор,PT. Sanbe Farma,Индонез,2023.09.25,Монголфарм ХХК,8993008300130,,
F20130925NP03391,Кетилепт,Кветиапин,100мг,30,бүрхүүлтэй шахмал,Жороор,Egis Pharmaceuticals PLC,Унгар,2023.09.25,Монголэмимпекс ХХК, ,,
F20130925NP03391,Кетилепт,Кветиапин,100мг,60,бүрхүүлтэй шахмал,Жороор,Egis Pharmaceuticals PLC,Унгар,2023.09.25,Монголэмимпекс ХХК, ,,
F20130925NP03398,Брайнакт,Цитиколин,500мг,30,шахмал,Жороор,PT. Dankos Farma,Индонез,2023.09.25,Монфа трейд ХХК,8995858017558,,
F20130925NP03443,Арфен,Парацетамол,125мг,10,лаа,Жоргүй,Medochemie Ltd,Кипр,2023.09.25,Еврофарм ХХК,5290931007178,,
F20130925NP03444,Арфен,Парацетамол,250мг,10,лаа,Жоргүй,Medochemie Ltd,Кипр,2023.09.25,Еврофарм ХХК,5290931007161,,
F20130925NP03445,Арфен,Парацетамол,500мг,10,лаа,Жоргүй,Medochemie Ltd,Кипр,2023.09.25,Еврофарм ХХК,5290931007215,,
F20130925VP03399,Видатокс, ,30мл,1,уусмал,Жороор,Labiofam entrepreneurial group,Куба,2023.09.25,Монфарм трейд ХХК,H11038N02,,
F20131203AO03482,Эссливер форте,Фосфолипид,300мг,30,капсул,Жоргүй,Nabros Pharma Privet Limited India for JSC,ОХУ,2023.12.03,"""Нижегородский химико-фармацевтический завод""-ийн төлөөлөгчийн газар",4601026304613,,
F20131203AO03482,Эссливер форте,Фосфолипид,300мг,50,капсул,Жоргүй,Nabros Pharma Privet Limited India for JSC,ОХУ,2023.12.03,"""Нижегородский химико-фармацевтический завод""-ийн төлөөлөгчийн газар",4601026157486,,
F20131203AP03464,Фамоцид 20,Фамотидин,20мг,6x5,бүрхүүлтэй шахмал,Жороор,PT. Sanbe Farma,Индонез,2023.12.03,Монголфарм ХХК,8993008320015,,
F20131203AP03475,Ультоп,Омепразол,40мг,1,тарилгын уусмал бэлтгэх нунтаг,Жороор,"KRKA d.d., Novo Mesto",Словени,2023.12.03,"KRKA, d.d., Novo mesto Төлөөлөгчийн газар",3838989520749,,
F20131203BP03484,Ксарелто,Ривароксабан,20мг,28,бүрхүүлтэй шахмал,Жороор,Bayer AG,Герман,2023.12.03,Моносфарм Трейд ХХК,4008500100974,,
F20131203BP03485,Ксарелто,Ривароксабан,15мг,28,бүрхүүлтэй шахмал,Жороор,Bayer AG,Герман,2023.12.03,Моносфарм Трейд ХХК,4008500100936,,
F20131203CP03474,Лориста,Лозартан,100мг,28,бүрхүүлтэй шахмал,Жороор,"KRKA d.d., Novo Mesto",Словени,2023.12.03,"KRKA, d.d., Novo mesto Төлөөлөгчийн газар",3838989559687,,
F20131203HP03460,Санексон 125,Метилпреднизолон,125мг,1,тарилгын уусмал бэлтгэх нунтаг,Жороор,PT. Sanbe Farma,Индонез,2023.12.03,Монголфарм ХХК,8993008360011,,
F20131203HP03461,Санексон 500,Метилпреднизолон,500мг,1,тарилгын уусмал бэлтгэх нунтаг,Жороор,PT. Sanbe Farma,Индонез,2023.12.03,Монголфарм ХХК,8993008360028,,
F20131203JP03480,Моксиклав,Амоксициллин + Клавуланы хүчил,1.2г,10,тарилгын уусмал бэлтгэх нунтаг,Жороор,Medochemie Ltd,Кипр,2023.12.03,Еврофарм ХХК,5290931007581,,
F20131203JP03480,Моксиклав,Амоксициллин + Клавуланы хүчил,1.2г,1,тарилгын уусмал бэлтгэх нунтаг,Жороор,Medochemie Ltd,Кипр,2023.12.03,Еврофарм ХХК,5290931007574,,
F20131203MP03465,Эпринок,Эперизон,50мг,10x10,бүрхүүлтэй шахмал,Жороор,PT. Sanbe Farma,Индонез,2023.12.03,Монголфарм ХХК,8993008350012,,
F20131203NP03447,Амитриптилин - Гриндекс,Амитриптилин,10мг,50,бүрхүүлтэй шахмал,Жороор,Grindeks JSC,Латви,2023.12.03,Азифарма ХХК,4750232002995,,
F20131203NP03448,Амитриптилин - Гриндекс,Амитриптилин,25мг,50,бүрхүүлтэй шахмал,Жороор,Grindeks JSC,Латви,2023.12.03,Азифарма ХХК,4750232005156,,
F20131203SP03477,Эритромицин,Эритромицин,10г,1,тосон түрхлэг,Жороор,Sintez JSC,ОХУ,2023.12.03,Бэриш Фарм ХХК,4602565019556,,
F20131203VO03476,Солуплекс,Поливитамин,15мл,1,уусмал,Жоргүй,Binh Dinh Pharmaceutical and Medical Equipment Joint Stock Company (BIDIPHAR),Вьетнам,2023.12.03,Саба трейд ХХК,8934690011867,,
F20140128AP03580,Глизен 30,Гликлазид,30мг,100,шахмал,Жороор,Celogen Pharma PVT.Ltd,БНЭУ,2024.01.28,Моносфарм Трейд ХХК, ,,
F20140128AP03581,Глизен 60,Гликлазид,60мг,100,шахмал,Жороор,Celogen Pharma PVT.Ltd,БНЭУ,2024.01.28,Моносфарм Трейд ХХК, ,,
F20140128AP03582,Глизен 80,Гликлазид,80мг,100,шахмал,Жороор,Celogen Pharma PVT.Ltd,БНЭУ,2024.01.28,Моносфарм Трейд ХХК, ,,
F20140128AP03591,Орсотен,Цетрореликс,120мг,21,капсул,Жороор,"KRKA d.d., Novo Mesto",Словени,2024.01.28,"KRKA, d.d., Novo mesto Төлөөлөгчийн газар",4607055135266,,
F140119BO03578,Фолийн хүчил,Фолийн хүчил,1мг,50,шахмал,Жоргүй,Озон,ОХУ,2019.01.28,Моносфарм Трейд ХХК, ,,
F20140128CP03569,Карведи - денк,Карведилол,25мг,30,шахмал,Жороор,Allpharma Pharbil Arzneimittel GmbH,Герман,2024.01.28,Денк фарма ХХК,4031571062995,,
F20140128CP03570,Карведи - денк,Карведилол,6.25мг,30,шахмал,Жороор,Artesan Pharma GmbH & Co.KG for Denk Pharma GmbH & Co.KG,Герман,2024.01.28,Денк фарма ХХК,4031571063008,,
F140128CP03623,Амлоцим,Амлодипин,5мг,30,шахмал,Жороор,Acino Pharma AG,Швейцари,2019.01.28,Медиал ТГ,7640153082930,,
F140128CP03624,Амлоцим,Амлодипин,10мг,30,шахмал,Жороор,Acino Pharma AG,Швейцари,2019.01.28,Медиал ТГ,7640153082954,,
F140119JP03575,Левокса,Левофлоксацин,250мг,10,бүрхүүлтэй шахмал,Жороор,Actavis Ltd,Мальта,2019.01.28,Актавис төлөөлөгчийн газар,5690528224023,,
F140119JP03576,Левокса,Левофлоксацин,500мг,10,бүрхүүлтэй шахмал,Жороор,Actavis Ltd,Мальта,2019.01.28,Актавис төлөөлөгчийн газар, ,,
F20140128LP03588,Циклофосфамид,Циклофосфамид,200мг,1,тарилгын уусмал бэлтгэх нунтаг,Жороор,Celogen Pharma PVT.Ltd,БНЭУ,2024.01.28,Моносфарм Трейд ХХК, ,,
F20140128MP03568,Кетонал,Кетопрофен,100мг,12,лаа,Жороор,"Sandoz Ilac Sanayii Ve Ticaret A.S, Turkey for Lek Pharmaceuticals D.D, Slovenia",Турк,2024.01.28,Моносфарм Трейд ХХК,8699516894009,,
F20140128NP03585,Севофлуран БП,Севофлуран,250мл,1,ингаляци,Жороор,Celogen Pharma PVT.Ltd,БНЭУ,2024.01.28,Моносфарм Трейд ХХК, ,,
F20140128NP03586,Изофлуран БП,Изофлуран,250мл,1,ингаляци,Жороор,Celogen Pharma PVT.Ltd,БНЭУ,2024.01.28,Моносфарм Трейд ХХК, ,,
F140319AP03635,Меглюкон,Метформин,500мг,30,бүрхүүлтэй шахмал,Жороор,"Lek S.A.,",Словени,2019.03.18,Моносфарм Трейд ХХК, ,,
F140319AP03636,Меглюкон,Метформин,850мг,30,бүрхүүлтэй шахмал,Жороор,"Lek S.A.,",Словени,2019.03.18,Моносфарм Трейд ХХК, ,,
F140319AP03647,Тиоктацид 600БВ,Тиоктик ацид,600мг,100,бүрхүүлтэй шахмал,Жороор,"Meda Manufacturing GmbH, Germany for Meda Pharma GmbH & Co.KG, Germany",Герман,2019.03.18,Моносфарм Трейд ХХК, ,,
F140319AP03647,Тиоктацид 600БВ,Тиоктик ацид,600мг,30,бүрхүүлтэй шахмал,Жороор,"Meda Manufacturing GmbH, Germany for Meda Pharma GmbH & Co.KG, Germany",Герман,2019.03.18,Моносфарм Трейд ХХК,4019338600178,,
F20140318BP03632,Пантоген,Глюкоз + Аскорбины хүчил + Тиамин + Рибофлавин + Никотинамид + Пиридоксины гидрохлорид + Пантенол,1мг+50мг+0.25мг+0.5мг+0.05мг+0.05мг+0.25мг-250мл,1,тарилгын шингэн,Жороор,"Taiwan Biotech Co.,Ltd",Тайвань,2024.03.18,Түвшин-Энэрэл ХХК,4711916012464,,
F20140318BP03632,Пантоген,Глюкоз + Аскорбины хүчил + Тиамин + Рибофлавин + Никотинамид + Пиридоксины гидрохлорид + Пантенол,1мг+50мг+0.25мг+0.5мг+0.05мг+0.05мг+0.25мг-500мл,1,тарилгын шингэн,Жороор,"Taiwan Biotech Co.,Ltd",Тайвань,2024.03.18,Түвшин-Энэрэл ХХК,4711916012471,,
F140319CP03668,Валз,Валсартан,80мг,28,бүрхүүлтэй шахмал,Жороор,Balkanpharma-Dupnitsa AD,Болгар,2019.03.18,Актавис төлөөлөгчийн газар,4607141997761,,
F140319CP03669,Валз,Валсартан,160мг,28,бүрхүүлтэй шахмал,Жороор,Balkanpharma-Dupnitsa AD,Болгар,2019.03.18,Актавис төлөөлөгчийн газар,4607141997785,,
F20140318GP03645,Мадонна,Левоноргестрел,0.75мг,2,шахмал,Жороор,"Biolab Co.,Ltd",Тайланд,2024.03.18,Их Төгөл ХХК,8852662001725,,
F20140318GP03653,Везикар,Солифенацин,5мг,30,бүрхүүлтэй шахмал,Жороор,Astellas Pharma Europe B.V.,Нидерланд,2024.03.18,Моносфарм Трейд ХХК,4607098450098,,
F20140318JP03638,Лендацин,Цефтриаксон,1г,5,тарилгын уусмал бэлтгэх нунтаг,Жороор,Sandoz GmbH,Австри,2024.03.18,Моносфарм Трейд ХХК,9002260013128,,
F140319JP03639,Меропенем Сандоз,Меропенем,1000мг,10,тарилгын уусмал бэлтгэх нунтаг,Жороор,Sandoz Private Limited,БНЭУ,2019.03.18,Моносфарм Трейд ХХК, ,,
F20140318JP03656,Микамин,Микафунгин,50мг,1,тарилгын уусмал бэлтгэх лиофилизат нунтаг,Жороор,"Astellas Ireland Co.,Ltd",Ирланд,2024.03.18,Моносфарм Трейд ХХК,46 07 09 84 51 108,,
F20140318JP03657,Микамин,Микафунгин,100мг,1,тарилгын уусмал бэлтгэх лиофилизат нунтаг,Жороор,"Astellas Ireland Co.,Ltd",Ирланд,2024.03.18,Моносфарм Трейд ХХК,46 07 09 84 51 118,,
F140319JP03661,Сефпотек,Цефподоксим,200мг,10,бүрхүүлтэй шахмал,Жороор,Nobel Almaty Pharmaceutical Factory JSC,Казакстан,2019.03.18,Монголэмимпекс ХХК, ,,
F140319JP03661,Сефпотек,Цефподоксим,200мг,14,бүрхүүлтэй шахмал,Жороор,Nobel Almaty Pharmaceutical Factory JSC,Казакстан,2019.03.18,Монголэмимпекс ХХК, ,,
F20140318MP03634,Диклак 150,Диклофенак,150мг,100,уртасгасан үйлдэлтэй шахмал,Жороор,Salutas Pharma GmbH,Герман,2024.03.18,Моносфарм Трейд ХХК,4030855426171,,
F20140318MP03634,Диклак 150,Диклофенак,150мг,20,уртасгасан үйлдэлтэй шахмал,Жороор,Salutas Pharma GmbH,Герман,2024.03.18,Моносфарм Трейд ХХК,4030855426218,,
F20140318NO03642,Билобил интенсе,ГИНКО БИЛОБА,120мг,20,капсул,Жоргүй,"KRKA d.d., Novo Mesto",Словени,2024.03.18,"KRKA, d.d., Novo mesto Төлөөлөгчийн газар",3838989566098,,
F140319NP03662,Трамадол гидрохлорид,Трамадолын гидрохлорид,50мг,30,капсул,Жороор,PT. Actavis Indonesia,Индонез,2019.03.18,Актавис төлөөлөгчийн газар, ,,
F140319NP03664,Лесемос,Леветирацетам,250мг,100,бүрхүүлтэй шахмал,Жороор,Actavis Ltd,Мальта,2019.03.18,Актавис төлөөлөгчийн газар, ,,
F140319NP03665,Лесемос,Леветирацетам,500мг,100,бүрхүүлтэй шахмал,Жороор,Actavis Ltd,Мальта,2019.03.18,Актавис төлөөлөгчийн газар, ,,
F140319NP03666,Лесемос,Леветирацетам,750мг,100,бүрхүүлтэй шахмал,Жороор,Actavis Ltd,Мальта,2019.03.18,Актавис төлөөлөгчийн газар, ,,
F140319NP03667,Лесемос,Леветирацетам,1000мг,100,бүрхүүлтэй шахмал,Жороор,Actavis Ltd,Мальта,2019.03.18,Актавис төлөөлөгчийн газар, ,,
F140419AO03716,Фарматон кидди, ,100мл,1,сироп,Жоргүй,Ginsana S.A,Швейцари,2019.04.29,Моносфарм Трейд ХХК, ,,
F20140429AP03689,Тамипүүл, , ,10,тарилгын уусмал бэлтгэх лиофилизат нунтаг,Жороор,Celltrion Pharm. Inc,БНСУ,2024.04.29,Палома ХХК,8656021044220,,
F140419AP03690,Хансео Хепадиф, , ,10,тарилгын уусмал бэлтгэх лиофилизат нунтаг,Жороор,Celltrion Pharm. Inc,БНСУ,2019.04.29,Палома ХХК, ,,
F20140429AP03694,Лэиннек,Хүний ихэсийн гидролизат,112мг-2мл,50,тарилгын уусмал,Жороор,Green Cross Wellbeing Corporation,БНСУ,2024.04.29,Ди Жи Би ХХК, ,,
F20140430AO03728,Урсокапс,Урсодезоксихолын хүчил,250мг,50,капсул,Жоргүй,Minskintercaps UV,Беларусь,2024.04.29,Ач Үр ХХК,4810046003066,,
F140419AP03742,Легалон 140,Силимарин,140мг,100,капсул,Жоргүй,Madaus GmbH,Герман,2019.04.29,MNGB ХХК, ,,
F140419AP03742,Легалон 140,Силимарин,140мг,30,капсул,Жоргүй,Madaus GmbH,Герман,2019.04.29,MNGB ХХК, ,,
F140419AP03742,Легалон 140,Силимарин,140мг,60,капсул,Жоргүй,Madaus GmbH,Герман,2019.04.29,MNGB ХХК, ,,
F20140429CP03698,Клопи-Денк,Клопидогрел,75мг,30,бүрхүүлтэй шахмал,Жороор,Artesan Pharma GmbH & Co.KG for Denk Pharma GmbH & Co.KG,Герман,2024.04.29,Прайорити ХХК,4031571067068,,
F20140429BP03719,Плавикс,Клопидогрел,75мг,14,бүрхүүлтэй шахмал,Жороор,Sanofi Winthrop Industrie - Synthelabo,Франц,2024.04.29,Моносфарм Трейд ХХК,3582910004349,,
F20140429BP03719,Плавикс,Клопидогрел,75мг,28,бүрхүүлтэй шахмал,Жороор,Sanofi Winthrop Industrie - Synthelabo,Франц,2024.04.29,Моносфарм Трейд ХХК,3582910014188,,
F20140429CP03683,Етексатри,Аденозиний фосфат,21.96мг,10x10,шахмал,Жороор,"Theragen Etex Co.,Ltd",БНСУ,2024.04.29,Палома ХХК,8656021044176,,
F140419CP03705,Вивейс,Рамиприл,2.5мг,30,шахмал,Жороор,Balkanpharma-Dupnitsa AD,Болгар,2019.04.29,Актавис төлөөлөгчийн газар,5690528148206,,
F140419CP03706,Вивейс,Рамиприл,5мг,30,шахмал,Жороор,Balkanpharma-Dupnitsa AD,Болгар,2019.04.29,Актавис төлөөлөгчийн газар,5690528148329,,
F140419CP03707,Вивейс,Рамиприл,10мг,30,шахмал,Жороор,Balkanpharma-Dupnitsa AD,Болгар,2019.04.29,Актавис төлөөлөгчийн газар,5690528148442,,
F20140429DP03696,Тридокс,Бетаметазон + Клотримазол + Гентамицин,0.5мг+1мг+10мг-15г,1,гель,Жороор,Oxford Laboratories PVT. Ltd,БНЭУ,2024.04.29,Бэриш Фарм ХХК,8902034104032,,
F140419HP03726,Профилтиоурацил БП50,Пропилтиоурацил,50мг,20,шахмал,Жороор,Macleods Pharmaceuticals Limited,БНЭУ,2019.04.29,Моносфарм Трейд ХХК, ,,
F20140429JP03684,Ванкотрин,Ванкомицин,500мг,10,тарилгын нунтаг,Жороор,"Aprogen Pharmaceutical, Inc",БНСУ,2024.04.29,Палома ХХК,108506518010126,,
F20140429JP03685,Сеонелксим,Цефотаксим,1г,10,тарилгын уусмал бэлтгэх нунтаг,Жороор,"Aprogen Pharmaceutical, Inc",БНСУ,2024.04.29,Палома ХХК,8656021044206,,
F140419JP03727,Цефаклор,Цефаклор,30мл,1,сироп,Жороор,"Ildong Pharmaceutical Co.,Ltd",БНСУ,2019.04.29,Моносфарм Трейд ХХК, ,,
F20140429JP03730,Ланфикс,Цефиксим,100мг,30,капсул,Жороор,PT. Pertiwi Agung,Индонез,2024.04.29,Монфа трейд ХХК,8994757000975,,
F20140429JP03731,Ланфикс,Цефиксим,200мг,10,капсул,Жороор,PT. Pertiwi Agung,Индонез,2024.04.29,Монфа трейд ХХК,8994757000982,,
F20140429JP03744,Амоксан 250,Амоксициллин,250мг,10x10,капсул,Жороор,PT. Caprifarmindo Laboratories,Индонез,2024.04.29,Монголфарм ХХК,8993008310023,,
F20140429LP03699,Анастрозол-Денк,Анастрозол,1мг,30,бүрхүүлтэй шахмал,Жороор,Haupt Pharma Munster GmbH,Герман,2024.04.29,Прайорити ХХК,4031571063787,,
F140419LP03708,Флударабин Актавис,Флударабин,50мг,1,тарилгын уусмал бэлтгэх нунтаг,Жороор,S.C. Sindan - Pharma S.R.L,Румын,2019.04.29,Актавис төлөөлөгчийн газар, ,,
F140419LP03710,Дакарбазин - Лэнс,Дакарбазин,100мг,1,тарилгын уусмал бэлтгэх лиофилизат нунтаг,Жороор,Lens - Pharm LLC,ОХУ,2019.04.29,Моносфарм Трейд ХХК, ,,
F140419LP03711,Дакарбазин - Лэнс,Дакарбазин,200мг,1,тарилгын уусмал бэлтгэх лиофилизат нунтаг,Жороор,Lens - Pharm LLC,ОХУ,2019.04.29,Моносфарм Трейд ХХК, ,,
F140419LP03712,Доксорубицин - Лэнс,Доксорубицин,10мг,1,тарилгын уусмал бэлтгэх лиофилизат нунтаг,Жороор,Lens - Pharm LLC,ОХУ,2019.04.29,Моносфарм Трейд ХХК, ,,
F140419MO03740,Бруфен,Ибупрофен,200мг,10,шахмал,Жоргүй,"Samil pharm Co.,Ltd",БНСУ,2019.04.29,Монфарм трейд ХХК, ,,
F140419MO03740,Бруфен,Ибупрофен,200мг,500,шахмал,Жоргүй,"Samil pharm Co.,Ltd",БНСУ,2019.04.29,Монфарм трейд ХХК, ,,
F140419MO03741,Бруфен,Ибупрофен,400мг,10,шахмал,Жоргүй,"Samil pharm Co.,Ltd",БНСУ,2019.04.29,Монфарм трейд ХХК, ,,
F140419MO03741,Бруфен,Ибупрофен,400мг,500,шахмал,Жоргүй,"Samil pharm Co.,Ltd",БНСУ,2019.04.29,Монфарм трейд ХХК, ,,
F20140429MP03735,Вольтарен,Диклофенак,100мг,5,лаа,Жороор,"Delpharm Huningue SAS, France for Novartis Consumer Health SA, Switzerland",Франц,2024.04.29,Монголэмимпекс ХХК,7680392540341,,
F140419NN03736,Долоника,Оксикодоны гидрохлорид,10мг,30,уртасгасан үйлдэлтэй шахмал,Жороор,Acino Pharma AG,Швейцари,2019.04.29,Медиал ТГ,7640153083029,,
F140419NN03737,Долоника,Оксикодоны гидрохлорид,20мг,30,уртасгасан үйлдэлтэй шахмал,Жороор,Acino Pharma AG,Швейцари,2019.04.29,Медиал ТГ,7640153083043,,
F140419NO03720,Валемидин,Эмийн бамбайн хуурай ханд + дифенгидрамин,0.05г+16.6мл-50мл,1,уусмал,Жоргүй,Pharmamed LLC,ОХУ,2019.04.29,Моносфарм Трейд ХХК,4607068360075,,
F20140429NO03724,Тенотен,S-100 тархины өвөрмөц уургийн эсрэгбие,0.003г,40,шахмал,Жоргүй,Materia Medica Holding OOO NPF,ОХУ,2024.04.29,Моносфарм Трейд ХХК,4607009582269,,
F20140429NO03725,Тенотен /хүүхэд/,S-100 тархины өвөрмөц уургийн эсрэгбие,0.003г,40,шахмал,Жоргүй,Materia Medica Holding OOO NPF,ОХУ,2024.04.29,Моносфарм Трейд ХХК,4607009582153,,
F140419NO03743,Киндинорм,Балжингаравын ханд + Кальцийн фосфат + Staphisagria + Эмийн бамбайн хуурай ханд,10г,1,гранул,Жоргүй,DHU Arzneimittel GmbH & Co.KG,Герман,2019.04.29,Монголэмимпекс ХХК,4029917003627,,
F20140429NP03721,Нейромидин,Ипидакрин,20мг,50,шахмал,Жороор,Olainfarm JSC,Латви,2024.04.29,Моносфарм Трейд ХХК,4750258313105,,
F20140429NP03722,Адаптол,Мебикар,300мг,20,капсул,Жороор,Olainfarm JSC,Латви,2024.04.29,Моносфарм Трейд ХХК,4750258313198,,
F20140429NP03723,Адаптол,Мебикар,500мг,20,шахмал,Жороор,Olainfarm JSC,Латви,2024.04.29,Моносфарм Трейд ХХК,4750258313204,,
F20140429RO03714,Зодак,Цетиризин,10мг,10,бүрхүүлтэй шахмал,Жороор,Zentiva K.S.,Чех,2024.04.29,Моносфарм Трейд ХХК,8594739224605,,
F20140514AO03799,Мелафос,Поливитамин,60мл,1,сироп,Жороор,PT. Pertiwi Agung,Индонез,2024.05.14,Монфа трейд ХХК,8994757001033,,
F20140514CO03798,Молинфа,Ретинол + Холины фенофибрат + DHA oil + Тиамин + Цианокобаламин + Эргокальциферол + Цайр + Төмөр, ,30,капсул,Жороор,PT. Pertiwi Agung,Индонез,2024.05.14,Монфа трейд ХХК,8994757001118,,
F140519CP03797,Валсартан,Валсартан,80мг,10x10,капсул,Жороор,"Xinxiang Forgood Pharmaceuticals Co.,Ltd",БНХАУ,2019.05.14,Xinxiang Forgood ТГ, ,,
